peopleCd,totalpeople
10000558,7
10001670,2
10001779,3
10001901,2
10001915,2
10003507,1
10003788,1
10003967,3
10004034,2
10004099,2
10004264,1
10004396,3
10004448,3
10004452,1
10004466,1
10004577,1
10004748,1
10004852,2
10004866,1
10004885,2
10004995,2
10005251,2
10005276,7
10005297,2
10005383,6
10005410,3
10005617,1
10005749,2
10005820,1
10006155,2
10006221,4
10006228,3
10006380,3
10006545,1
10006877,1
10013826,4
10019043,1
10019065,4
10019067,1
10019770,1
10021341,5
10026674,1
10026716,1
10026732,1
10026802,1
10026825,1
10028507,2
10028660,2
10028667,2
10028686,1
10028773,4
10028892,1
10028989,1
10029093,1
10029474,3
10029480,2
10029573,2
10029595,1
10030016,2
10030351,4
10035492,1
10035772,5
10035775,1
10035832,5
10036685,1
10036883,3
10037018,11
10037229,2
10040580,3
10040665,1
10040874,3
10043550,1
10047352,1
10047357,2
10049790,1
10049852,2
10050151,14
10050734,1
10053708,1
10053771,4
10053802,3
10053902,1
10054128,10
10054204,1
10054493,3
10054755,8
10055073,2
10055086,2
10055447,1
10055581,1
10055626,6
10056792,1
10056895,1
10057315,6
10057329,2
10057435,3
10057628,1
10058320,1
10058646,2
10058708,2
10060114,1
10061272,1
10061467,3
10061699,3
10061861,1
10062023,1
10062025,4
10062071,2
10062184,2
10062279,3
10065830,1
10066380,5
10066791,1
10066899,2
10066926,5
10067353,6
10069179,4
10070393,4
10070417,2
10070678,1
10071140,1
10071209,2
10071900,1
10072251,2
10076693,1
10080533,1
10087253,9
10087280,1
10087518,2
10087751,1
10087820,2
10088453,1
10088975,1
10090290,7
20067653,1
20069387,1
20110148,2
20110693,1
20110935,4
20111125,2
20111474,1
20111526,2
20111688,1
20111842,2
20111894,2
20111976,1
20112212,1
20114653,1
20115762,1
20121022,1
20125794,3
20127192,3
20127194,1
20127912,1
20128252,1
20133966,2
20134082,4
20134255,2
20136191,4
20147110,1
20152117,3
20153744,4
20157462,1
20161741,1
20163035,2
20170901,1
20171222,1
20174763,2
20175963,1
20186095,4
20189362,2
20189746,6
20192204,1
20195689,1
20200886,3
20201026,1
20203246,1
20207886,2
20208626,3
20209526,2
20209686,3
20211007,1
20215606,1
20217767,1
20235266,1
20235446,1
20277349,1
20279929,1
20301589,1
