,배급사,cnt
0,씨제이이앤엠(주),51
1,(주)넥스트엔터테인먼트월드(NEW),34
2,롯데쇼핑㈜롯데엔터테인먼트,34
3,(주)쇼박스,32
4,메가박스중앙(주)플러스엠,19
5,(주)리틀빅픽쳐스,15
6,CGV아트하우스,12
7,씨네그루(주)키다리이엔티,10
8,오퍼스픽쳐스,7
9,롯데컬처웍스(주)롯데엔터테인먼트,6
10,(주)스톰픽쳐스코리아,6
11,워너브러더스 코리아(주),6
12,이십세기폭스코리아(주),4
13,(주)이수C&E,3
14,씨네그루(주)다우기술,3
15,(주)인벤트스톤,3
16,(주)와우픽쳐스,3
17,(주)대명문화공장,3
18,(주)제이앤씨미디어그룹,2
19,월트디즈니컴퍼니코리아 유한책임회사,2
20,주식회사 키위컴퍼니,2
21,(주)프레인글로벌,2
22,(주)박수엔터테인먼트,2
23,TCO(주)더콘텐츠온,2
24,(주)마인스 엔터테인먼트,2
25,(주)디스테이션,2
26,영화사 풀,1
27,유나이티드픽처스(주),1
28,와이드 릴리즈(주),1
29,판씨네마(주),1
30,플레이리스트(주),1
31,필라멘트픽쳐스,1
32,(주)그노스,1
33,(주)팝엔터테인먼트,1
34,(주)페퍼민트앤컴퍼니,1
35,(주)나이너스엔터테인먼트,1
36,(주)키위미디어그룹,1
37,(주)콘텐츠 난다긴다,1
38,(주)오에이엘,1
39,(주)싸이더스,1
40,(주)시네마서비스,1
41,(주)스마일이엔티,1
42,(주)레드로버,1
43,(주)라이크 콘텐츠,1
44,힘컨텐츠(주),1
