,directors,movieNm,peopleCd,prizecount,accumCnt
0,김한민,명량,10006204,28,2
1,이석훈,해적: 바다로 간 산적,10055965,9,4
2,황동혁,수상한 그녀,10090050,27,2
3,윤제균,국제시장,10054492,37,2
4,윤종빈,군도: 민란의 시대,10054495,24,0
5,강형철,타짜-신의 손,10000946,16,2
6,이재규,역린,20111735,0,2
7,조범구,신의 한 수,10065847,0,0
8,김성훈,끝까지 간다,10004662,12,1
9,창,표적,10071587,1,0
10,임찬상,나의 사랑 나의 신부,10058842,1,0
11,한동욱,남자가 사랑할 때,20140752,0,0
12,김홍선,기술자들,20125826,1,0
13,임순례,제보자,10058650,15,0
14,이연우,피끓는 청춘,10056625,1,0
15,이재용,두근두근 내 인생,10057210,7,0
16,이한,우아한 거짓말,10058005,3,2
17,심성보,해무(海霧),10040850,9,0
18,김대우,인간중독,10003851,18,0
19,김광식,찌라시: 위험한 소문,10003620,2,2
20,최호,빅매치,10072907,10,0
21,김영탁,슬로우 비디오,10005032,2,0
22,이정호,방황하는 칼날,10057331,3,0
23,장진,우리는 형제입니다,10060535,10,0
24,부지영,카트,10031684,5,0
25,권칠인,관능의 법칙,10002537,4,0
26,이원석,상의원,20128390,3,0
27,성시흡,플랜맨,20114191,0,0
28,이정범,우는 남자,10057273,19,1
29,오기환,패션왕,10050086,1,0
30,박상준,황제를 위하여,20113801,0,0
31,황인호,몬스터,10090261,0,0
32,김태윤,또 하나의 약속,10006129,0,0
33,오인천,소녀괴담,20188088,2,0
34,박제현,조선미녀삼총사,10029209,1,0
35,임필성,마담 뺑덕,10058886,1,0
36,이도윤,좋은 친구들,20142138,0,0
37,이해준,나의 독재자,10058053,10,0
38,장진,하이힐,10060535,10,0
39,박범수,레드카펫,10028647,0,0
40,전형준,덕수리 5형제,10061527,0,0
41,김덕수,아빠를 빌려드립니다,10003883,0,0
42,김태균,가시,10006085,9,0
43,신재영,맨홀,20153417,0,0
44,박규택,터널 3D,20150634,0,0
45,박창진,설계,20179021,0,0
46,김명균,백프로,10004056,0,0
47,류승완,베테랑,10019069,47,6
48,최동훈,암살,10072187,40,4
49,우민호,내부자들,20111283,16,2
50,이준익,사도,10057485,97,8
51,김학순,연평해전,10006188,9,1
52,장재현,검은 사제들,10060462,10,1
53,이석훈,히말라야,10055965,9,4
54,김석윤,조선명탐정 : 사라진 놉의 딸,10004484,1,0
55,이병헌,스물,20125862,2,0
56,곽경택,극비수사,10001931,15,0
57,김정훈,탐정 : 더 비기닝,10005643,2,0
58,백운학,악의 연대기,10030346,1,0
59,유하,강남 1970,20111250,15,0
60,백,뷰티 인사이드,20144080,0,0
61,박진표,오늘의 연애,10029363,19,0
62,김현석,쎄시봉,10006261,25,0
63,김봉주,더 폰,20128476,2,0
64,박훈정,대호,10029578,11,0
65,한준희,차이나타운,20183664,6,0
66,강제규,장수상회,10000854,30,2
67,허종호,성난 변호사,10088447,2,0
68,민규동,간신,10027774,8,0
69,윤준형,그놈이다,10054518,0,0
70,강효진,미쓰 와이프,10000970,0,0
71,하정우,허삼관,10087253,18,0
72,손용호,살인의뢰,20188569,0,0
73,김광태,손님,20147149,0,0
74,정기훈,열정같은소리하고있네,10061628,3,0
75,노덕,특종: 량첸살인기,10015745,3,0
76,천성일,서부전선,10071866,0,0
77,신한솔,헬머니,10040668,0,0
78,김진영,위험한 상견례 2,10005932,0,0
79,안상훈,순수의 시대,20111254,2,0
80,홍원찬,오피스,10089708,3,0
81,박흥식,"협녀, 칼의 기억",20110989,7,0
82,오승욱,무뢰한,10050533,8,0
83,문제용,내 심장을 쏴라,10026804,0,0
84,김성제,소수의견,10004620,7,0
85,이해영,경성학교: 사라진 소녀들,10058049,13,3
86,신동엽,치외법권,20111176,0,0
87,하기호,극적인 하룻밤,10086669,0,0
88,이종필,도리화가,10057407,0,0
89,권형진,함정,10002567,0,0
90,김대승,조선마술사,10003845,11,0
91,김아론,연애의 맛,10004879,0,0
92,우민호,내부자들: 디 오리지널,20111283,16,2
93,윤재구,은밀한 유혹,10054464,0,0
94,임상수,나의 절친 악당들,10058591,25,0
95,김휘,퇴마: 무녀굴,10003489,5,0
96,권오광,돌연변이,10002458,0,0
97,김상진,쓰리 썸머 나잇,10004438,8,0
98,전윤수,미안해 사랑해 고마워,10061405,1,0
99,박은경,비밀,20066038,0,0
100,조치언,약장수,20138384,1,0
101,이서,타투,10055931,1,0
102,박재식,검은손,10029120,0,0
103,연상호,부산행,10049814,21,2
104,이일형,검사외전,10057103,0,1
105,김지운,밀정,10005852,37,4
106,김성훈,터널,10087253,18,0
107,이재한,인천상륙작전,10057235,8,2
108,이계벽,럭키,10054784,1,1
109,나홍진,곡성,10007437,52,2
110,허진호,덕혜옹주,10088463,25,1
111,조의석,마스터,10066810,3,2
112,박정우,판도라,10029181,4,0
113,박찬욱,아가씨,10029381,91,0
114,조정래,귀향,10066934,7,0
115,권수경,형,10002413,2,0
116,김성수,아수라,10004596,15,0
117,김태곤,굿바이 싱글,10006078,2,0
118,박대민,봉이 김선달,10028545,3,0
119,조성희,탐정 홍길동: 사라진 마을,10065952,6,1
120,권종관,특별수사: 사형수의 편지,10002517,0,0
121,곽재용,시간이탈자,10002002,8,0
122,이준익,동주,10057485,97,8
123,이언희,미씽: 사라진 여자,10056602,4,0
124,홍지영,"당신, 거기 있어줄래요",10089855,2,0
125,이한,오빠생각,10058005,3,2
126,이철하,"날, 보러와요",10057717,0,0
127,강우석,"고산자, 대동여지도",10000783,44,1
128,박현진,좋아해줘,20110969,1,0
129,최국희,스플릿,10072117,0,0
130,김종현,국가대표 2,10005717,0,0
131,조규장,그날의 분위기,10065265,0,0
132,이우철,사냥,10056854,0,0
133,모홍진,널 기다리며,10026501,1,0
134,엄태화,가려진 시간,10047368,3,0
135,박흥식,해어화,20110989,7,0
136,창,계춘할망,10071587,1,0
137,이호재,"로봇, 소리",10058219,4,0
138,남대중,위대한 소원,20209287,0,0
139,이두환,혼숨,20246149,0,0
140,이경미,비밀은 없다,10054739,16,0
141,이은희,순정,20140739,0,0
142,이윤기,남과 여,10056949,8,0
143,석민우,대배우,20122507,1,0
144,백승빈,무서운 이야기 3 : 화성에서 온 소녀,20080184,0,0
145,백승화,걷기왕,10030331,1,0
146,조근식,엽기적인 그녀 2,10065271,3,0
147,조근현,번개맨,10065272,9,0
148,채두병,올레,20211226,1,0
149,이성태,두 남자,20244789,0,0
150,송민규,목숨 건 연애,10037076,0,0
151,이창열,트릭,20225826,0,0
152,신동엽,대결,20111176,0,0
153,이재한,인천상륙작전 : 익스텐디드 에디션(확장판),10057235,8,2
154,김지연,히야,20140497,1,0
155,구모,무수단,10002140,0,0
156,장훈,택시운전사,10060674,45,2
157,김용화,신과함께-죄와 벌,10005151,38,8
158,김성훈,공조,20128773,3,2
159,강윤성,범죄도시,20135271,6,1
160,류승완,군함도,10019069,47,6
161,김주환,청년경찰,20112387,3,1
162,한재림,더 킹,10087712,30,2
163,장창원,꾼,20148100,0,0
164,양우석,강철비,20167784,28,1
165,황동혁,남한산성,10090050,27,2
166,김현석,아이 캔 스피크,10006261,25,0
167,나현,프리즌,10007424,3,0
168,원신연,살인자의 기억법,20111284,10,0
169,김형주,보안관,20131894,0,0
170,박광현,조작된 도시,10028469,7,1
171,김태윤,재심,10006129,0,0
172,이준익,박열,10057485,97,8
173,장준환,1987,10060507,31,1
174,이창재,노무현입니다,10057682,0,0
175,문현성,임금님의 사건수첩,20125803,1,0
176,장유정,부라더,20110174,0,0
177,장항준,기억의 밤,10060606,2,0
178,박훈정,브이아이피,10029578,11,0
179,박인제,특별시민,20110676,0,0
180,허정,장산범,20169260,2,1
181,정병길,악녀,10061761,10,0
182,이수연,해빙,10056147,2,0
183,조선호,하루,20131018,1,0
184,변성현,불한당: 나쁜 놈들의 세상,10031356,10,0
185,정윤철,대립군,10062089,18,1
186,김형협,아빠는 딸,20230906,0,0
187,정지우,침묵,10062256,19,0
188,이사랑,리얼,20254349,0,0
189,김홍선,반드시 잡는다,20125826,1,0
190,양경모,원라인,20182346,1,0
191,김봉한,보통사람,10004369,1,0
192,이원태,대장 김창수,20131414,0,0
193,정식,석조저택 살인사건,10061563,4,0
194,이주영,싱글라이더,20232106,0,0
195,이용승,7호실,20112022,5,0
196,곽경택,희생부활자,10001931,15,0
197,이안규,미옥,10056570,1,0
198,이윤기,어느날,10056949,9,0
199,조영준,채비,20153388,0,0
200,김덕수,비정규직 특수요원,10003883,0,0
201,이덕희,로마의 휴일,20111036,0,0
202,임대웅,시간위의 집,10058504,0,0
203,김준성,루시드 드림,20122844,1,0
204,마대윤,"그래, 가족",10021332,0,0
205,김홍선,역모-반란의 시대,20283069,0,0
206,김성욱,이웃집 스타,10004610,0,0
207,송창용,구세주: 리턴즈,10037252,0,0
208,김용화,신과함께-인과 연,10005151,38,8
209,김광식,안시성,10003620,2,2
210,이재규,완벽한 타인,20111735,0,2
211,이해영,독전,10058049,13,3
212,윤종빈,공작,10054495,24,0
213,김태균,암수살인,10006086,0,0
214,박훈정,마녀,10029578,11,0
215,이언희,탐정: 리턴즈,10056602,4,0
216,이석근,너의 결혼식,10055945,0,0
217,정범식,곤지암,10061758,5,0
218,이장훈,지금 만나러 갑니다,20280830,0,0
219,조규장,목격자,10065265,0,0
220,김석윤,조선명탐정: 흡혈괴마의 비밀,10004484,1,0
221,최국희,국가부도의 날,10072117,0,0
222,박희곤,명당,10029586,0,0
223,이종석,협상,20114792,0,0
224,김성훈,창궐,20128773,3,2
225,김민호,성난황소,20304809,0,0
226,임순례,리틀 포레스트,10058650,15,0
227,노동석,골든슬럼버,10007941,0,0
228,홍창표,궁합,10089901,0,0
229,이창희,사라진 밤,20166555,0,0
230,이병헌,바람 바람 바람,20125862,2,0
231,김용완,챔피언,20164846,1,0
232,연상호,염력,10049814,18,2
233,김지운,인랑,10005852,37,4
234,김대웅,레슬러,20287367,0,0
235,변혁,상류사회,10031397,0,0
236,허종호,물괴,10088447,2,0
237,이지원,미쓰백,10057572,1,0
238,이창동,버닝,10057659,69,0
239,추창민,7년의 밤,10072983,14,1
240,이준익,변산,10057485,97,8
241,임진순,동네사람들,10058831,0,0
242,조원희,원더풀 고스트,10066770,0,0
243,조근현,흥부: 글로 세상을 바꾼 자,10065272,9,0
244,이권,도어락,10054870,0,0
245,민규동,허스토리,10027774,8,0
246,방수인,덕구,20302149,0,0
247,박준수,번 더 스테이지: 더 무비,20311772,0,0
248,김제영,치즈인더트랩,10005652,0,0
249,최상훈,속닥속닥,10072304,0,0
250,이한욱,나를 기억해,20178069,0,0
251,이해영,독전: 익스텐디드 컷,10058049,13,3
252,신재호,게이트,20111176,0,0
253,이경섭,여중생A,20113175,0,0
254,유영선,여곡성,20157236,0,0
255,김지열,번개맨과 신비의 섬,20302509,0,0
256,허준형,머니백,20238387,0,0
257,고경민,데자뷰,20283049,0,0
258,이성재,비밥바룰라,20289230,0,0
259,박진영,배반의 장미,20305089,0,0
260,김정환,해피 투게더,20309609,0,0
261,강유선,번개맨의 비밀,20311974,0,0
